Date,Total Cases,Total Death
16 Oct 20,90905,4739
15 Oct 20,90869,4739
14 Oct 20,90858,4739
13 Oct 20,90830,4739
12 Oct 20,90812,4739
11 Oct 20,90778,4739
10 Oct 20,90751,4739
09 Oct 20,90728,4739
08 Oct 20,90687,4739
07 Oct 20,90667,4739
06 Oct 20,90652,4739
05 Oct 20,90629,4739
04 Oct 20,90604,4739
03 Oct 20,90584,4739
02 Oct 20,90567,4739
01 Oct 20,90545,4739
30 Sep 20,90528,4739
29 Sep 20,90505,4739
28 Sep 20,90483,4739
27 Sep 20,90456,4739
26 Sep 20,90441,4738
25 Sep 20,90424,4738
24 Sep 20,90409,4737
23 Sep 20,90399,4737
22 Sep 20,90381,4737
21 Sep 20,90369,4737
20 Sep 20,90334,4737
19 Sep 20,90311,4737
18 Sep 20,90294,4736
17 Sep 20,90253,4736
16 Sep 20,90235,4735
15 Sep 20,90219,4735
14 Sep 20,90197,4734
13 Sep 20,90168,4734
12 Sep 20,90145,4733
11 Sep 20,90127,4733
10 Sep 20,90100,4733
09 Sep 20,90087,4733
08 Sep 20,90078,4732
07 Sep 20,90058,4729
06 Sep 20,90025,4728
05 Sep 20,90008,4728
04 Sep 20,89986,4728
03 Sep 20,89953,4727
02 Sep 20,89933,4724
01 Sep 20,89914,4723
31 Aug 20,89895,4722
30 Aug 20,89863,4720
29 Aug 20,89836,4718
28 Aug 20,89814,4713
27 Aug 20,89784,4712
26 Aug 20,89752,4711
25 Aug 20,89718,4711
24 Aug 20,89695,4711
23 Aug 20,89654,4710
22 Aug 20,89616,4709
21 Aug 20,89567,4707
20 Aug 20,89527,4706
19 Aug 20,89494,4704
18 Aug 20,89441,4703
17 Aug 20,89375,4703
16 Aug 20,89279,4702
15 Aug 20,89214,4700
14 Aug 20,89144,4699
13 Aug 20,89045,4697
12 Aug 20,88958,4692
11 Aug 20,88906,4688
10 Aug 20,88793,4685
09 Aug 20,88672,4681
08 Aug 20,88580,4680
07 Aug 20,88460,4678
06 Aug 20,88328,4677
05 Aug 20,88206,4675
04 Aug 20,88099,4671
03 Aug 20,87985,4668
02 Aug 20,87827,4665
01 Aug 20,87655,4661
31 Jul 20,87489,4658
30 Jul 20,87213,4658
29 Jul 20,86990,4656
28 Jul 20,86783,4656
27 Jul 20,86570,4652
26 Jul 20,86381,4652
25 Jul 20,86202,4650
24 Jul 20,86045,4649
23 Jul 20,85906,4648
22 Jul 20,85768,4648
21 Jul 20,85695,4646
20 Jul 20,85611,4646
19 Jul 20,85482,4646
18 Jul 20,85402,4644
17 Jul 20,85327,4644
16 Jul 20,85246,4642
15 Jul 20,85226,4642
14 Jul 20,85169,4641
13 Jul 20,85117,4641
12 Jul 20,85071,4641
11 Jul 20,85030,4641
10 Jul 20,84992,4641
09 Jul 20,84950,4641
08 Jul 20,84917,4641
07 Jul 20,84889,4641
06 Jul 20,84871,4641
05 Jul 20,84857,4641
04 Jul 20,84838,4641
03 Jul 20,84830,4641
02 Jul 20,84816,4641
01 Jul 20,84785,4641
30 Jun 20,84780,4641
29 Jun 20,84757,4641
28 Jun 20,84743,4641
27 Jun 20,84725,4641
26 Jun 20,84701,4641
25 Jun 20,84673,4640
24 Jun 20,84653,4640
23 Jun 20,84624,4639
22 Jun 20,84572,4639
21 Jun 20,84553,4638
20 Jun 20,84497,4638
19 Jun 20,84494,4638
18 Jun 20,84458,4638
17 Jun 20,84422,4638
16 Jun 20,84378,4638
15 Jun 20,84335,4638
14 Jun 20,84286,4638
13 Jun 20,84228,4638
12 Jun 20,84216,4638
11 Jun 20,84209,4638
10 Jun 20,84198,4638
09 Jun 20,84195,4638
08 Jun 20,84191,4638
07 Jun 20,84186,4638
06 Jun 20,84177,4638
05 Jun 20,84171,4638
04 Jun 20,84160,4638
03 Jun 20,84161,4638
02 Jun 20,84154,4638
01 Jun 20,84146,4638
31 May 20,84128,4638
30 May 20,84123,4638
29 May 20,84106,4638
28 May 20,84106,4638
27 May 20,84103,4638
26 May 20,84102,4638
25 May 20,84095,4638
24 May 20,84084,4638
23 May 20,84081,4638
22 May 20,84071,4638
21 May 20,84063,4638
20 May 20,84063,4638
19 May 20,84063,4638
18 May 20,84054,4638
17 May 20,84044,4638
